time,8508a_volt
1721306491.0553892,3e-07
1721306497.4054236,3e-07
1721306503.7554936,4e-07
1721306510.1054583,1e-07
1721306516.4555664,1e-07
1721306522.8055956,-0.0
1721306529.1557002,6e-07
1721306535.5057118,6e-07
1721306541.855725,6e-07
1721306548.205731,1e-07
1721306554.55578,-2e-07
1721306560.9058175,6e-07
1721306567.2559562,6e-07
1721306573.6058934,-1e-07
1721306579.9559553,-1e-07
1721306586.306064,8e-07
1721306592.6560345,2e-07
1721306599.0060563,4e-07
1721306605.3560753,2e-07
1721306611.7061782,0.0
1721306618.0562043,3e-07
1721306624.406257,3e-07
1721306630.7563422,4e-07
1721306637.106336,-3e-07
1721306643.4563863,4e-07
1721306649.806457,5e-07
1721306656.1564298,4e-07
1721306662.506516,6e-07
1721306668.856544,1e-07
1721306675.2066483,9e-07
1721306681.556618,4e-07
1721306687.906669,3e-07
1721306694.256715,1e-07
1721306700.606764,6e-07
1721306706.9568279,0.0
1721306713.306874,3e-07
1721306719.6568499,3e-07
1721306726.0069094,7e-07
1721306732.3569715,2e-07
1721306738.7069862,-3e-07
1721306745.057054,7e-07
1721306751.4071045,4e-07
1721306757.7571502,1e-07
1721306764.107192,3e-07
1721306770.4572356,5e-07
1721306776.8073037,-1e-07
1721306783.1572464,-3e-07
1721306789.5073535,4e-07
1721306795.8574612,2e-07
1721306802.2075272,0.0
1721306808.557489,2e-07
1721306814.907569,6e-07
1721306821.2576156,3e-07
1721306827.6076777,4e-07
1721306833.9576738,2e-07
1721306840.3077037,4e-07
1721306846.6577446,4e-07
1721306853.0078297,-0.0
1721306859.357884,5e-07
1721306865.707901,4e-07
1721306872.0579157,1e-07
1721306878.4080114,4e-07
1721306884.7580352,-3e-07
1721306891.1080663,5e-07
1721306897.4580936,3e-07
1721306903.8081617,9e-07
1721306910.1581511,2e-07
1721306916.5082088,4e-07
1721306922.8582737,-0.0
1721306929.2083802,8e-07
1721306935.5583608,5e-07
1721306941.90847,0.0
1721306948.2584646,6e-07
1721306954.6084464,1e-07
1721306960.9585044,5e-07
1721306967.3085747,4e-07
1721306973.658607,1e-07
1721306980.0086687,4e-07
1721306986.3587127,3e-07
1721306992.7087495,5e-07
1721306999.0588164,3e-07
1721307005.4088914,-0.0
1721307011.7588754,3e-07
1721307018.1088867,7e-07
1721307024.4589894,7e-07
1721307030.808993,2e-07
1721307037.159045,-2e-07
1721307043.5090706,5e-07
1721307049.8591144,6e-07
1721307056.2091818,2e-07
1721307062.5592139,4e-07
1721307068.909273,1e-07
1721307075.259311,4e-07
1721307081.609344,3e-07
1721307087.9594576,3e-07
1721307094.3094416,5e-07
1721307100.6598797,-1e-07
1721307107.0095367,-2e-07
1721307113.3596334,5e-07
1721307119.7096193,9e-07
1721307126.0597086,3e-07
1721307132.4096913,5e-07
1721307138.759768,4e-07
1721307145.1097777,3e-07
1721307151.4598753,6e-07
1721307157.8098466,4e-07
1721307164.1599383,3e-07
1721307170.5099905,1e-07
1721307176.8600183,0.0
1721307183.210025,4e-07
1721307189.5600886,2e-07
1721307195.9101155,4e-07
1721307202.2601504,2e-07
1721307208.6101887,-3e-07
1721307214.9602754,2e-07
1721307221.3102677,4e-07
1721307227.6603396,5e-07
1721307234.0103638,1e-07
1721307240.360425,1e-07
1721307246.7104695,2e-07
1721307253.0605688,3e-07
1721307259.4105628,6e-07
1721307265.7606418,9e-07
1721307272.1106768,0.0
1721307278.460696,9e-07
1721307284.8107255,-0.0
1721307291.1607752,2e-07
1721307297.5108042,5e-07
1721307303.8608565,5e-07
1721307310.2109041,-6e-07
1721307316.5609813,6e-07
1721307322.9109943,5e-07
1721307329.2610059,4e-07
1721307335.6111152,3e-07
1721307341.961122,3e-07
1721307348.3111022,4e-07
1721307354.6611733,4e-07
1721307361.0112922,-0.0
1721307367.361299,3e-07
1721307373.7113187,4e-07
1721307380.061374,3e-07
1721307386.41148,1e-06
1721307392.761486,3e-07
1721307399.1115892,-1e-07
1721307405.4615316,1e-07
1721307411.8116486,1e-07
1721307418.1616917,6e-07
1721307424.5117624,1e-07
1721307430.861657,-1e-07
1721307437.2118418,5e-07
1721307443.5617795,4e-07
1721307449.9119158,2e-07
1721307456.2618613,5e-07
1721307462.611988,4e-07
1721307468.9619796,3e-07
1721307475.3120477,3e-07
1721307481.662095,7e-07
1721307488.0121193,2e-07
1721307494.3621535,-5e-07
1721307500.7121942,7e-07
1721307507.0622182,2e-07
1721307513.4123,2e-07
1721307519.7623057,7e-07
1721307526.112357,4e-07
1721307532.46241,0.0
1721307538.812427,4e-07
1721307545.1625347,5e-07
1721307551.512532,4e-07
1721307557.8625734,3e-07
1721307564.2126331,7e-07
1721307570.562645,-2e-07
1721307576.9127028,3e-07
1721307583.262766,3e-07
1721307589.6127946,9e-07
1721307595.9627984,6e-07
1721307602.3128886,2e-07
1721307608.6629317,0.0
1721307615.0129592,5e-07
1721307621.3630128,-0.0
1721307627.7130678,3e-07
1721307634.06309,3e-07
1721307640.4131155,3e-07
1721307646.7632215,9e-07
1721307653.113222,1.1e-06
1721307659.4632652,1e-07
1721307665.8132892,-4e-07
1721307672.1633403,0.0
1721307678.513355,3e-07
1721307684.863464,4e-07
1721307691.213456,4e-07
1721307697.5635443,4e-07
1721307703.9139507,6e-07
1721307710.263671,4e-07
1721307716.6136339,4e-07
1721307722.9637265,-1e-07
1721307729.31374,9e-07
1721307735.663822,3e-07
1721307742.013802,2e-07
1721307748.3638937,4e-07
1721307754.7138906,2e-07
1721307761.063983,7e-07
1721307767.413995,4e-07
1721307773.7640646,3e-07
1721307780.11407,6e-07
1721307786.464127,5e-07
1721307792.8141856,-5e-07
1721307799.1641958,3e-07
1721307805.5141976,4e-07
1721307811.8642895,8e-07
1721307818.2143393,5e-07
1721307824.5643635,4e-07
1721307830.914382,-2e-07
1721307837.264411,3e-07
1721307843.6145191,-3e-07
1721307849.964589,8e-07
1721307856.314576,1e-07
1721307862.6646407,3e-07
1721307869.0148008,6e-07
1721307875.364742,1.2e-06
1721307881.7147503,3e-07
1721307888.064799,4e-07
1721307894.4148333,3e-07
1721307900.7648847,5e-07
1721307907.1149375,5e-07
1721307913.4649587,9e-07
1721307919.8150167,3e-07
1721307926.1650312,-1e-07
1721307932.515083,1e-07
1721307938.8651896,5e-07
1721307945.2151747,6e-07
1721307951.5652342,1e-07
1721307957.915275,-2e-07
1721307964.2652833,1.1e-06
1721307970.6153474,1e-07
1721307976.9654107,2e-07
1721307983.315511,3e-07
1721307989.6654894,-1e-07
1721307996.0155706,3e-07
1721308002.3655434,2e-07
1721308008.71563,4e-07
1721308015.0656328,2e-07
1721308021.4158406,8e-07
1721308027.7657535,5e-07
1721308034.1158066,7e-07
1721308040.4658165,-1e-07
1721308046.815901,4e-07
1721308053.1659365,9e-07
1721308059.5159886,8e-07
1721308065.8659978,-0.0
1721308072.2160323,-3e-07
1721308078.5660982,6e-07
1721308084.916179,2e-07
1721308091.2662132,6e-07
1721308097.6162007,4e-07
1721308103.966278,3e-07
1721308110.3163152,7e-07
1721308116.666347,-1e-07
1721308123.0163925,4e-07
1721308129.3664412,5e-07
1721308135.7164657,1e-06
1721308142.0665188,1e-07
1721308148.416585,6e-07
1721308154.7665973,5e-07
1721308161.1166792,6e-07
1721308167.4667528,1e-07
1721308173.8167467,4e-07
1721308180.1667626,-1e-07
1721308186.516867,1e-07
1721308192.8668592,1e-07
1721308199.2169278,6e-07
1721308205.5669668,4e-07
1721308211.9169903,1e-07
1721308218.267076,9e-07
1721308224.6170988,5e-07
1721308230.9671435,2e-07
1721308237.317148,3e-07
1721308243.667132,6e-07
1721308250.017136,6e-07
1721308256.3670757,4e-07
1721308262.7170973,5e-07
1721308269.06708,2e-07
1721308275.4170163,7e-07
1721308281.767017,7e-07
1721308288.1169627,4e-07
1721308294.4670022,7e-07
1721308300.8169532,1e-07
1721308307.1673079,4e-07
1721308313.5169678,3e-07
1721308319.867,9e-07
1721308326.2169557,6e-07
1721308332.5669513,0.0
1721308338.9168935,4e-07
1721308345.2669218,4e-07
1721308351.616905,3e-07
1721308357.9668953,6e-07
1721308364.3169084,6e-07
1721308370.666861,1e-07
1721308377.0168607,2e-07
1721308383.3668756,3e-07
1721308389.71686,4e-07
1721308396.0668986,2e-07
1721308402.4168568,6e-07
1721308408.7668326,7e-07
1721308415.1168888,7e-07
1721308421.4668298,3e-07
1721308427.8168426,3e-07
1721308434.1668243,1e-07
1721308440.5168657,5e-07
1721308446.8668408,1e-07
1721308453.2168086,8e-07
1721308459.5667813,2e-07
1721308465.9168336,3e-07
1721308472.266824,9e-07
1721308478.6168497,7e-07
1721308484.9668632,0.0
1721308491.3168514,2e-07
1721308497.6668367,4e-07
1721308504.016871,6e-07
1721308510.3668644,6e-07
1721308516.7168262,7e-07
1721308523.066914,7e-07
1721308529.4168653,7e-07
1721308535.766867,0.0
1721308542.1169345,9e-07
1721308548.466862,2e-07
1721308554.8168783,0.0
1721308561.1668055,4e-07
1721308567.5168946,4e-07
1721308573.8669126,6e-07
1721308580.2169063,9e-07
1721308586.566931,8e-07
1721308592.916916,-1e-07
1721308599.2669382,6e-07
1721308605.616961,6e-07
1721308611.9669504,4e-07
1721308618.3169243,1e-07
1721308624.667022,0.0
1721308631.0170388,4e-07
1721308637.3669374,4e-07
1721308643.717028,0.0
1721308650.0670373,0.0
1721308656.417005,7e-07
1721308662.7670157,7e-07
1721308669.1170568,-0.0
1721308675.4670591,8e-07
1721308681.817089,3e-07
1721308688.1670694,2e-07
1721308694.5170906,1.2e-06
1721308700.8671005,3e-07
1721308707.2171407,6e-07
1721308713.567129,7e-07
1721308719.91713,3e-07
1721308726.267148,3e-07
1721308732.6171362,6e-07
1721308738.967139,7e-07
1721308745.317233,3e-07
1721308751.667225,8e-07
1721308758.017233,2e-07
1721308764.3671837,7e-07
1721308770.7173092,4e-07
1721308777.0672646,-1e-07
1721308783.4172838,7e-07
1721308789.7673714,8e-07
1721308796.1173222,3e-07
1721308802.4673662,6e-07
1721308808.81739,6e-07
1721308815.1673524,4e-07
1721308821.5173924,3e-07
1721308827.867376,5e-07
1721308834.2174315,3e-07
1721308840.5674865,2e-07
1721308846.917468,6e-07
1721308853.2675893,6e-07
1721308859.6175182,-2e-07
1721308865.96757,2e-07
1721308872.317568,8e-07
1721308878.6676095,5e-07
1721308885.0175788,7e-07
1721308891.367664,2e-07
1721308897.7176383,8e-07
1721308904.0677297,6e-07
1721308910.4179833,1e-07
1721308916.7677603,6e-07
1721308923.1177104,3e-07
1721308929.4677665,4e-07
1721308935.8178027,3e-07
1721308942.1678362,6e-07
1721308948.5177848,1e-07
1721308954.8679037,0.0
1721308961.217837,6e-07
1721308967.5680978,9e-07
1721308973.9179976,9e-07
1721308980.267949,4e-07
1721308986.6179261,2e-07
1721308992.967998,2e-07
1721308999.3179078,4e-07
1721309005.6679883,2e-07
1721309012.0180254,3e-07
1721309018.3680575,7e-07
1721309024.7180521,5e-07
1721309031.0680542,4e-07
1721309037.418101,3e-07
1721309043.7681224,5e-07
1721309050.1181016,2e-07
1721309056.4681177,7e-07
1721309062.8181775,3e-07
1721309069.168223,3e-07
1721309075.518244,4e-07
1721309081.8683357,9e-07
1721309088.2182634,4e-07
1721309094.5683072,2e-07
1721309100.9183488,7e-07
1721309107.2684042,6e-07
1721309113.618405,-0.0
1721309119.9684303,3e-07
1721309126.3184032,7e-07
1721309132.6684582,3e-07
1721309139.018497,4e-07
1721309145.3685172,5e-07
1721309151.7185502,0.0
1721309158.0685623,2e-07
1721309164.4186573,5e-07
1721309170.76862,5e-07
1721309177.1186578,5e-07
1721309183.4686964,4e-07
1721309189.8187027,9e-07
1721309196.1686928,3e-07
1721309202.5187232,1e-06
1721309208.86874,9e-07
1721309215.2187843,1e-07
1721309221.5688384,1e-06
1721309227.9188323,4e-07
1721309234.2689037,8e-07
1721309240.618895,1e-07
1721309246.9689739,7e-07
1721309253.318972,2e-07
1721309259.6689966,4e-07
1721309266.0190237,5e-07
1721309272.369069,2e-07
1721309278.7190878,2e-07
1721309285.0690668,6e-07
1721309291.4191418,3e-07
1721309297.7691512,6e-07
1721309304.1191883,-1e-07
1721309310.4692287,4e-07
1721309316.8192728,9e-07
1721309323.1692712,7e-07
1721309329.5193605,6e-07
1721309335.8693051,9e-07
1721309342.219373,2e-07
1721309348.5693903,9e-07
1721309354.9194741,-0.0
1721309361.2694426,5e-07
1721309367.6195126,9e-07
1721309373.9694843,-1e-07
1721309380.3196027,8e-07
1721309386.6695578,1e-07
1721309393.0197499,4e-07
1721309399.3696067,1e-07
1721309405.7196958,-1e-07
1721309412.0697482,6e-07
1721309418.419779,0.0
1721309424.7697368,9e-07
1721309431.1197844,4e-07
1721309437.469753,7e-07
1721309443.819837,2e-07
1721309450.1698296,5e-07
1721309456.5199099,1e-06
1721309462.8699176,3e-07
1721309469.2199655,4e-07
1721309475.5700064,5e-07
1721309481.9199934,4e-07
1721309488.2700615,6e-07
1721309494.620105,9e-07
1721309500.970105,5e-07
1721309507.3201194,7e-07
1721309513.6704764,0.0
1721309520.020151,3e-07
1721309526.3702178,7e-07
1721309532.7202158,6e-07
1721309539.0703063,7e-07
1721309545.4202964,1e-07
1721309551.7702987,-1e-07
1721309558.120321,7e-07
1721309564.4703863,3e-07
1721309570.8203673,1.1e-06
1721309577.1704743,9e-07
1721309583.5204904,-3e-07
1721309589.8705094,4e-07
1721309596.2205105,4e-07
1721309602.5705886,1.3e-06
1721309608.9206197,3e-07
1721309615.2706597,0.0
1721309621.6206918,9e-07
1721309627.9706886,4e-07
1721309634.3207157,1e-07
1721309640.670793,5e-07
1721309647.0208182,8e-07
1721309653.3708277,7e-07
1721309659.7208893,8e-07
1721309666.0708652,6e-07
1721309672.420933,9e-07
1721309678.7709548,3e-07
1721309685.1209984,6e-07
1721309691.4710345,5e-07
1721309697.8210373,7e-07
1721309704.17115,2e-07
1721309710.5211005,1e-07
1721309716.871147,5e-07
1721309723.221192,5e-07
1721309729.571216,2e-07
1721309735.9212606,6e-07
1721309742.2712889,9e-07
1721309748.6212873,4e-07
1721309754.9713275,4e-07
1721309761.3213863,4e-07
1721309767.6713824,4e-07
1721309774.0214243,3e-07
1721309780.3715262,4e-07
1721309786.7214704,1e-06
1721309793.0715692,5e-07
1721309799.421564,4e-07
1721309805.7716413,3e-07
1721309812.1216257,1e-06
1721309818.4716966,6e-07
1721309824.8217263,0.0
1721309831.1718018,6e-07
1721309837.5217817,8e-07
1721309843.871812,4e-07
1721309850.221872,4e-07
1721309856.5718777,1e-07
1721309862.9218693,4e-07
1721309869.2719898,5e-07
1721309875.6219642,6e-07
1721309881.972002,1e-07
1721309888.3220289,7e-07
1721309894.6720645,4e-07
1721309901.0220945,7e-07
1721309907.3721364,3e-07
1721309913.7221127,3e-07
1721309920.0721605,3e-07
1721309926.42222,5e-07
1721309932.7722325,4e-07
1721309939.122197,4e-07
1721309945.4723425,0.0
1721309951.8223658,5e-07
1721309958.17239,1e-06
1721309964.5224056,3e-07
1721309970.8724303,2e-07
1721309977.2224529,4e-07
1721309983.5725145,5e-07
1721309989.9225593,3e-07
1721309996.272577,3e-07
1721310002.622637,6e-07
1721310008.9726603,3e-07
1721310015.3227053,5e-07
1721310021.6727073,5e-07
1721310028.0227423,6e-07
1721310034.372767,4e-07
1721310040.7228324,2e-07
1721310047.0728667,2e-07
1721310053.422865,9e-07
1721310059.7728598,1e-06
1721310066.122941,7e-07
1721310072.4729633,7e-07
1721310078.8230844,5e-07
1721310085.173039,1e-07
1721310091.5230622,3e-07
1721310097.8731167,7e-07
1721310104.223115,4e-07
1721310110.573177,4e-07
1721310116.923604,2e-07
1721310123.273264,3e-07
1721310129.6232977,9e-07
1721310135.9733117,4e-07
1721310142.323364,6e-07
1721310148.673382,7e-07
1721310155.0235758,2e-07
1721310161.3734958,5e-07
1721310167.7235587,9e-07
1721310174.073509,7e-07
1721310180.4237385,9e-07
1721310186.7736259,6e-07
1721310193.1236534,2e-07
1721310199.4736834,6e-07
1721310205.8237746,4e-07
1721310212.1737187,8e-07
1721310218.5238197,6e-07
1721310224.8737953,1e-07
1721310231.2238393,2e-07
1721310237.5738564,7e-07
1721310243.9239664,4e-07
1721310250.2739358,9e-07
1721310256.6239803,3e-07
1721310262.9740238,6e-07
1721310269.3240376,1e-06
1721310275.6740408,1e-07
1721310282.0241148,4e-07
1721310288.3741238,3e-07
1721310294.7241936,1e-07
1721310301.07425,8e-07
1721310307.4242952,4e-07
1721310313.7742865,0.0
1721310320.1243193,6e-07
1721310326.4743974,3e-07
1721310332.8243535,5e-07
1721310339.1744103,4e-07
1721310345.5244453,7e-07
1721310351.874518,2e-07
1721310358.2245393,8e-07
1721310364.5745668,8e-07
1721310370.924574,2e-07
1721310377.2746427,3e-07
1721310383.6246736,3e-07
1721310389.974728,3e-07
1721310396.3247051,7e-07
1721310402.6747394,6e-07
1721310409.0248318,1e-06
1721310415.3747923,8e-07
1721310421.7248669,8e-07
1721310428.0748863,7e-07
1721310434.4249275,5e-07
1721310440.7749484,3e-07
1721310447.1249497,5e-07
1721310453.4750128,4e-07
1721310459.8250325,4e-07
1721310466.1750717,7e-07
1721310472.5251667,7e-07
1721310478.8751237,4e-07
1721310485.225211,0.0
1721310491.5752454,8e-07
1721310497.925253,7e-07
1721310504.2753193,9e-07
1721310510.6252816,4e-07
1721310516.9753616,0.0
1721310523.3253813,8e-07
1721310529.6755,0.0
1721310536.0254712,7e-07
1721310542.3755603,5e-07
1721310548.725526,5e-07
1721310555.0755665,1.1e-06
1721310561.4256134,1e-07
1721310567.7756755,5e-07
1721310574.1256685,9e-07
1721310580.475755,5e-07
1721310586.8257265,2e-07
1721310593.175825,7e-07
1721310599.5258253,2e-07
1721310605.8758893,1.1e-06
1721310612.2258635,5e-07
1721310618.5759826,2e-07
1721310624.925903,4e-07
1721310631.2759995,4e-07
1721310637.6259935,2e-07
1721310643.9760485,1e-07
1721310650.3261096,6e-07
1721310656.676118,5e-07
1721310663.0261652,5e-07
1721310669.3761892,9e-07
1721310675.7262166,3e-07
1721310682.0762892,0.0
1721310688.4262855,4e-07
1721310694.7763164,1.3e-06
1721310701.126396,4e-07
1721310707.4763505,5e-07
1721310713.826425,5e-07
1721310720.1768525,9e-07
1721310726.5265093,6e-07
1721310732.876479,7e-07
1721310739.2265847,6e-07
1721310745.576597,6e-07
1721310751.9266486,3e-07
1721310758.2766495,7e-07
1721310764.6267636,6e-07
1721310770.9766898,1.1e-06
1721310777.3267555,1e-07
1721310783.676866,3e-07
1721310790.0268214,4e-07
1721310796.376878,1e-07
1721310802.7269094,4e-07
1721310809.0769393,4e-07
1721310815.4269328,6e-07
1721310821.7770247,1e-07
1721310828.1270707,5e-07
1721310834.4770768,1e-06
