time,8508a_volt
1721407344.795504,4e-07
1721407369.9130704,2e-07
1721407395.0306144,5e-07
1721407420.1481903,3e-07
1721407445.2657487,2e-07
1721407470.3841372,6e-07
1721407495.5007925,3e-07
1721407520.6183002,4e-07
1721407545.7358453,3e-07
1721407570.8532646,4e-07
1721407595.9707305,3e-07
1721407621.0882447,4e-07
1721407646.2056239,1e-07
1721407671.3231018,6e-07
1721407696.440462,3e-07
1721407721.5578856,6e-07
1721407746.6752434,4e-07
1721407771.7926297,4e-07
1721407796.9100344,3e-07
1721407822.0274289,5e-07
1721407847.1447933,5e-07
1721407872.2621279,5e-07
1721407897.3794975,1e-07
1721407922.4968004,5e-07
1721407947.6141107,4e-07
1721407972.731439,4e-07
1721407997.8487477,4e-07
1721408022.9660563,1e-07
1721408048.083376,3e-07
1721408073.200706,6e-07
1721408098.3179789,3e-07
1721408123.4352577,4e-07
1721408148.552538,4e-07
1721408173.6698413,5e-07
1721408198.7871072,5e-07
1721408223.9044037,5e-07
1721408249.0216587,5e-07
1721408274.1389327,5e-07
1721408299.2561922,4e-07
1721408324.3734713,4e-07
1721408349.4907525,4e-07
1721408374.608022,3e-07
1721408399.725196,5e-07
1721408424.842476,4e-07
1721408449.959755,4e-07
1721408475.0769641,4e-07
1721408500.1941967,4e-07
1721408525.3115027,4e-07
1721408550.4287317,1e-07
1721408575.5459466,7e-07
1721408600.6631575,5e-07
1721408625.7803805,4e-07
1721408650.8976388,3e-07
1721408676.014855,6e-07
1721408701.131932,2e-07
1721408726.2493048,4e-07
1721408751.3665402,4e-07
1721408776.484157,5e-07
1721408801.6010153,4e-07
1721408826.7182305,4e-07
1721408851.835511,5e-07
1721408876.9526453,5e-07
1721408902.0698822,3e-07
1721408927.1870594,7e-07
1721408952.304311,6e-07
1721408977.4215207,6e-07
1721409002.5387604,6e-07
1721409027.6559684,4e-07
1721409052.7731917,1e-07
1721409077.8903549,4e-07
1721409103.007637,5e-07
1721409128.124699,6e-07
1721409153.241038,7e-07
1721409178.3574822,7e-07
1721409203.4739075,5e-07
1721409228.5903764,5e-07
1721409253.7068746,5e-07
1721409278.8234155,7e-07
1721409303.9400332,3e-07
1721409329.056563,3e-07
1721409354.1731622,6e-07
1721409379.2901707,4e-07
1721409404.4064238,4e-07
1721409429.5231173,5e-07
1721409454.639851,6e-07
1721409479.7565138,6e-07
1721409504.8732347,7e-07
1721409529.989986,5e-07
1721409555.10675,5e-07
1721409580.2236083,5e-07
1721409605.3403327,4e-07
1721409630.45724,4e-07
1721409655.573973,4e-07
1721409680.6908152,7e-07
1721409705.807765,6e-07
1721409730.9245512,6e-07
1721409756.0414174,5e-07
1721409781.1582386,5e-07
1721409806.2752333,4e-07
1721409831.3921554,7e-07
1721409856.509051,6e-07
1721409881.6259694,5e-07
1721409906.7429142,5e-07
1721409931.8598704,7e-07
1721409956.9767976,6e-07
1721409982.0941124,4e-07
1721410007.2107809,8e-07
1721410032.3277152,3e-07
1721410057.4446478,7e-07
1721410082.5616446,3e-07
1721410107.6786375,6e-07
1721410132.7957153,8e-07
1721410157.9125996,4e-07
1721410183.0296261,4e-07
1721410208.1466248,7e-07
1721410233.2637208,6e-07
1721410258.3806636,5e-07
1721410283.497726,6e-07
1721410308.6147423,5e-07
1721410333.7318187,7e-07
1721410358.8487945,6e-07
1721410383.9658105,7e-07
1721410409.0828383,5e-07
1721410434.1999464,5e-07
1721410459.3169234,7e-07
1721410484.433986,7e-07
1721410509.551029,4e-07
1721410534.668085,7e-07
1721410559.7851236,5e-07
1721410584.9022126,6e-07
1721410610.0192728,6e-07
1721410635.13634,5e-07
1721410660.2533922,6e-07
1721410685.3704581,5e-07
1721410710.4876215,9e-07
1721410735.6046133,6e-07
1721410760.7216983,5e-07
1721410785.838763,5e-07
1721410810.9559054,6e-07
1721410836.0728965,5e-07
1721410861.1898339,8e-07
1721410886.307504,4e-07
1721410911.424143,6e-07
1721410936.5412192,6e-07
1721410961.6582844,7e-07
1721410986.775392,6e-07
1721411011.8924408,4e-07
1721411037.0095959,9e-07
1721411062.126628,3e-07
1721411087.2437518,8e-07
1721411112.3607826,5e-07
1721411137.4779103,8e-07
1721411162.5949957,7e-07
1721411187.712596,6e-07
1721411212.8305817,9e-07
1721411237.9484951,5e-07
1721411263.0664308,7e-07
1721411288.1843157,7e-07
1721411313.3021164,6e-07
1721411338.4199226,6e-07
1721411363.5376213,7e-07
1721411388.6553714,4e-07
1721411413.7731125,5e-07
1721411438.8907988,7e-07
1721411464.0084915,8e-07
1721411489.1261017,7e-07
1721411514.2437856,4e-07
1721411539.3613486,7e-07
1721411564.478948,9e-07
1721411589.596524,5e-07
1721411614.714076,8e-07
1721411639.831645,5e-07
1721411664.9490943,7e-07
1721411690.066624,6e-07
1721411715.1840875,7e-07
1721411740.301583,6e-07
1721411765.4190583,7e-07
1721411790.536523,6e-07
1721411815.6544511,6e-07
1721411840.7713728,6e-07
1721411865.8887823,6e-07
1721411891.0061598,7e-07
1721411916.1236136,6e-07
1721411941.2409768,6e-07
1721411966.35834,6e-07
1721411991.4757612,6e-07
1721412016.5930715,6e-07
1721412041.7104104,7e-07
1721412066.8277965,7e-07
1721412091.9451494,6e-07
1721412117.0624683,8e-07
1721412142.1798246,6e-07
1721412167.2970734,7e-07
1721412192.4144473,6e-07
1721412217.5317812,8e-07
1721412242.6490443,9e-07
1721412267.7663627,7e-07
1721412292.883721,8e-07
1721412318.000961,6e-07
1721412343.1182137,7e-07
1721412368.235543,9e-07
1721412393.3527792,5e-07
1721412418.470054,8e-07
1721412443.5873358,6e-07
1721412468.7045956,9e-07
1721412493.8215184,7e-07
1721412518.9391437,8e-07
1721412544.0563676,7e-07
1721412569.1736262,8e-07
1721412594.2908726,6e-07
1721412619.4082665,8e-07
1721412644.5253613,7e-07
1721412669.6427085,6e-07
1721412694.7599118,7e-07
1721412719.8771017,7e-07
1721412744.994739,8e-07
1721412770.1117132,6e-07
1721412795.228881,6e-07
1721412820.3460581,7e-07
1721412845.4633226,9e-07
1721412870.5805693,9e-07
1721412895.6977801,6e-07
1721412920.8150132,9e-07
1721412945.9322572,6e-07
1721412971.0494869,8e-07
1721412996.166727,9e-07
1721413021.2840164,8e-07
1721413046.401205,8e-07
1721413071.5184112,1e-06
1721413096.6356347,7e-07
1721413121.7528312,9e-07
1721413146.8700488,7e-07
1721413171.9872532,7e-07
1721413197.1044734,7e-07
1721413222.221713,7e-07
1721413247.3389497,7e-07
1721413272.4561148,1e-06
1721413297.57319,7e-07
1721413322.6903267,9e-07
1721413347.8075042,7e-07
1721413372.9246676,8e-07
1721413398.041826,6e-07
1721413423.1589668,7e-07
1721413448.2761517,6e-07
1721413473.3933282,9e-07
1721413498.5104766,7e-07
1721413523.6277125,1.1e-06
1721413548.7448251,9e-07
1721413573.8619874,7e-07
1721413598.9791677,9e-07
1721413624.0963302,7e-07
1721413649.213495,7e-07
1721413674.3306913,9e-07
1721413699.447857,7e-07
1721413724.5650105,1e-06
1721413749.6822274,8e-07
1721413774.799406,9e-07
1721413799.9165797,8e-07
1721413825.0337093,9e-07
1721413850.150882,9e-07
